TEAM,year,average attendance
Tampa Bay,2014,17857
Kansas City,2014,24154
Miami,2014,21386
Oakland,2014,25045
LA Dodgers,2013,46216
NY Yankees,2013,40488
San Diego,2013,26749
St. Louis,2013,41602
Atlanta,2013,31465
Philadelphia,2013,37190
Houston,2013,20393
Toronto,2013,31315
Chicago Cubs,2013,32625
Seattle,2013,21747
NY Mets,2013,26695
Boston,2013,34979
LA Angels,2013,37277
Colorado,2013,34491
Milwaukee,2013,31248
Texas,2013,38759
San Francisco,2013,41584
Cincinnati,2013,31288
Minnesota,2013,30588
Arizona,2013,26355
Baltimore,2013,29105
Cleveland,2013,19661
Washington,2013,32745
Chicago White Sox,2013,22105
Detroit,2013,38066
Pittsburgh,2013,28210
Tampa Bay,2013,18645
Kansas City,2013,21614
Miami,2013,19584
Oakland,2013,22337
LA Dodgers,2012,41040
NY Yankees,2012,43733
San Diego,2012,26218
St. Louis,2012,40272
Atlanta,2012,29878
Philadelphia,2012,44021
Houston,2012,19848
Toronto,2012,25921
Chicago Cubs,2012,35589
Seattle,2012,21258
NY Mets,2012,28035
Boston,2012,37567
LA Angels,2012,37799
Colorado,2012,32474
Milwaukee,2012,34955
Texas,2012,42719
San Francisco,2012,41695
Cincinnati,2012,28978
Minnesota,2012,34275
Arizona,2012,26884
Baltimore,2012,26610
Cleveland,2012,19797
Washington,2012,30010
Chicago White Sox,2012,24271
Detroit,2012,37383
Pittsburgh,2012,26148
Tampa Bay,2012,19255
Kansas City,2012,21748
Miami,2012,27400
Oakland,2012,20728
LA Dodgers,2011,36236
NY Yankees,2011,45107
San Diego,2011,26457
St. Louis,2011,38196
Atlanta,2011,30037
Philadelphia,2011,45440
Houston,2011,25518
Toronto,2011,22445
Chicago Cubs,2011,37258
Seattle,2011,23411
NY Mets,2011,30108
Boston,2011,37703
LA Angels,2011,39090
Colorado,2011,35923
Milwaukee,2011,37918
Texas,2011,36382
San Francisco,2011,41818
Cincinnati,2011,27327
Minnesota,2011,39112
Arizona,2011,25992
Baltimore,2011,21943
Cleveland,2011,22726
Washington,2011,24877
Chicago White Sox,2011,24705
Detroit,2011,32617
Pittsburgh,2011,24255
Tampa Bay,2011,18878
Kansas City,2011,21289
Miami,2011,19007
Oakland,2011,18232
LA Dodgers,2010,43979
NY Yankees,2010,46491
San Diego,2010,26318
St. Louis,2010,40755
Atlanta,2010,30989
Philadelphia,2010,45027
Houston,2010,28783
Toronto,2010,20068
Chicago Cubs,2010,37814
Seattle,2010,25746
NY Mets,2010,32401
Boston,2010,37610
LA Angels,2010,40133
Colorado,2010,35940
Milwaukee,2010,34278
Texas,2010,30928
San Francisco,2010,37499
Cincinnati,2010,25438
Minnesota,2010,39798
Arizona,2010,25394
Baltimore,2010,21662
Cleveland,2010,17435
Washington,2010,22568
Chicago White Sox,2010,27091
Detroit,2010,30385
Pittsburgh,2010,19918
Tampa Bay,2010,22758
Kansas City,2010,20191
Miami,2010,18953
Oakland,2010,17511
LA Dodgers,2009,46440
NY Yankees,2009,45364
San Diego,2009,23735
St. Louis,2009,41274
Atlanta,2009,29304
Philadelphia,2009,44453
Houston,2009,31124
Toronto,2009,23162
Chicago Cubs,2009,39610
Seattle,2009,27116
NY Mets,2009,38941
Boston,2009,37811
LA Angels,2009,40004
Colorado,2009,32902
Milwaukee,2009,37499
Texas,2009,27641
San Francisco,2009,35322
Cincinnati,2009,21579
Minnesota,2009,29466
Arizona,2009,26281
Baltimore,2009,23545
Cleveland,2009,22492
Washington,2009,22715
Chicago White Sox,2009,28199
Detroit,2009,31693
Pittsburgh,2009,19479
Tampa Bay,2009,23147
Kansas City,2009,22473
Miami,2009,18770
Oakland,2009,17392
LA Dodgers,2008,46056
NY Yankees,2008,53069
San Diego,2008,29969
St. Louis,2008,42353
Atlanta,2008,31269
Philadelphia,2008,42254
Houston,2008,34741
Toronto,2008,29626
Chicago Cubs,2008,40743
Seattle,2008,28761
NY Mets,2008,51165
Boston,2008,37632
LA Angels,2008,41194
Colorado,2008,33127
Milwaukee,2008,37882
Texas,2008,24320
San Francisco,2008,35356
Cincinnati,2008,25415
Minnesota,2008,28425
Arizona,2008,30986
Baltimore,2008,25000
Cleveland,2008,27122
Washington,2008,29005
Chicago White Sox,2008,30877
Detroit,2008,39538
Pittsburgh,2008,20113
Tampa Bay,2008,22259
Kansas City,2008,19986
Miami,2008,16688
Oakland,2008,20558
LA Dodgers,2007,47617
NY Yankees,2007,52729
San Diego,2007,34445
St. Louis,2007,43854
Atlanta,2007,33891
Philadelphia,2007,38374
Houston,2007,37288
Toronto,2007,29143
Chicago Cubs,2007,40153
Seattle,2007,32993
NY Mets,2007,47579
Boston,2007,36679
LA Angels,2007,41551
Colorado,2007,28978
Milwaukee,2007,35421
Texas,2007,29795
San Francisco,2007,39792
Cincinnati,2007,25414
Minnesota,2007,28349
Arizona,2007,28708
Baltimore,2007,27060
Cleveland,2007,28448
Washington,2007,24217
Chicago White Sox,2007,33140
Detroit,2007,37619
Pittsburgh,2007,22141
Tampa Bay,2007,17130
Kansas City,2007,19961
Miami,2007,16919
Oakland,2007,23726
LA Dodgers,2006,46401
NY Yankees,2006,52392
San Diego,2006,32836
St. Louis,2006,42588
Atlanta,2006,31881
Philadelphia,2006,34200
Houston,2006,37318
Toronto,2006,28422
Chicago Cubs,2006,39040
Seattle,2006,30634
NY Mets,2006,43327
Boston,2006,36189
LA Angels,2006,42059
Colorado,2006,25979
Milwaukee,2006,28835
Texas,2006,29490
San Francisco,2006,38639
Cincinnati,2006,26353
Minnesota,2006,28210
Arizona,2006,25829
Baltimore,2006,26581
Cleveland,2006,24666
Washington,2006,26580
Chicago White Sox,2006,36511
Detroit,2006,32048
Pittsburgh,2006,23269
Tampa Bay,2006,16925
Kansas City,2006,17157
Miami,2006,14372
Oakland,2006,24402
LA Dodgers,2005,44489
NY Yankees,2005,50502
San Diego,2005,35429
St. Louis,2005,43691
Atlanta,2005,31514
Philadelphia,2005,33316
Houston,2005,34626
Toronto,2005,24876
Chicago Cubs,2005,38749
Seattle,2005,33648
NY Mets,2005,35374
Boston,2005,35159
LA Angels,2005,42033
Colorado,2005,23929
Milwaukee,2005,27296
Texas,2005,31565
San Francisco,2005,39271
Cincinnati,2005,23988
Minnesota,2005,25114
Arizona,2005,25416
Baltimore,2005,32404
Cleveland,2005,24861
Washington,2005,33728
Chicago White Sox,2005,28923
Detroit,2005,25306
Pittsburgh,2005,23003
Tampa Bay,2005,14232
Kansas City,2005,17356
Miami,2005,22871
Oakland,2005,26038
LA Dodgers,2004,43065
NY Yankees,2004,47788
San Diego,2004,37243
St. Louis,2004,37634
Atlanta,2004,29399
Philadelphia,2004,40626
Houston,2004,38121
Toronto,2004,23457
Chicago Cubs,2004,39138
Seattle,2004,36305
NY Mets,2004,28979
Boston,2004,35028
LA Angels,2004,41675
